Perimeter,Compactness,ShapeFactor3,ShapeFactor1,MinorAxisLength,MajorAxisLength,ConvexArea,Eccentricity,roundness,EquivDiameter,AspectRation,Area,Class
-1.0220257102676018,0.30083253718468606,0.2650842687571263,1.3448144700278375,-0.9865866237613352,-0.99168980278502,-0.8179516908963095,-0.11414641248668457,0.48573852339806917,-1.0260814221014274,-0.38683443395377815,-0.8200468351202694,7.0
-0.4641037937019324,0.2012381744211876,0.1638397223575865,0.48567259285960435,-0.4992737767662917,-0.569411116368263,-0.5047871307226007,-0.02443628901660364,-0.5725734098096963,-0.5527678442266443,-0.30311695374601816,-0.5093601235169823,7.0
-0.9507836549297116,1.0181427644532488,1.0167855479611587,0.7657488926654529,-0.6754381525996931,-1.0491107322015292,-0.7559026104716899,-0.933913545856588,0.7293995285697303,-0.9211893281021587,-0.9900989509244019,-0.7548077951796125,7.0
-0.7916322649307803,0.4782045784895767,0.44728202080963625,0.6613702057879296,-0.6147487336403069,-0.7813520519962972,-0.6321099429068172,-0.29492988121163366,0.8703626154181655,-0.7291730589915397,-0.5430654255095352,-0.6300506242418532,7.0
-0.6758158011720439,0.8143466247422438,0.7991990645935878,0.3817555228997223,-0.4486244779591143,-0.7970685751788992,-0.5840796098647841,-0.655052325855167,0.3806116069515109,-0.659397615110148,-0.8124635404602067,-0.5830082103385269,1.0
-0.6453076374982853,0.3409021005856356,0.30603268748209655,0.48183318291960325,-0.5016207645559851,-0.6338011408393305,-0.5365923759949577,-0.15521087664754743,0.679553605572784,-0.5897918227751634,-0.4237301791633723,-0.5351731403767562,7.0
0.6504770822074539,0.9651890009459414,0.9599417462950127,-1.1624942148616109,0.9117639997903458,0.0942937009342316,0.33148376338098284,-0.8569709844902006,-1.3238795801162715,0.4921980602727579,-0.9434323546461459,0.3248931463422269,2.0
-0.6124284946532053,0.6506326580128307,0.626717863502189,0.2924823619271823,-0.37406188610006835,-0.6817294238166218,-0.5173123553816186,-0.49317505919201143,0.6104171851209043,-0.561977131345925,-0.6975770015113424,-0.5158047619052036,7.0
-0.3392635240673941,0.3098131227123032,0.2742511062501996,-0.003691052431737647,-0.1683250607773166,-0.3585959194472169,-0.3076081875132929,-0.12010331929380066,0.5355980910358427,-0.27131468833101363,-0.392240573522278,-0.3047514705176794,6.0
-0.7269068810578296,1.6313601083214206,1.6907401367379276,-0.03745566678270423,-0.1452962022273258,-0.9274896258024771,-0.5563136646857147,-1.832869884695793,1.240353065404015,-0.6142643586622744,-1.4319613441047712,-0.5520946240591982,1.0
